ngram	value
regularization parameter	1.0
avoid overfitting	1.0
kernel conditional embedding	1.6666666666666665
parameter need	1.0
empirical estimate	1.0
weight sum	1.2962962962962963
entire space	1.0
gaussian rbf	1.0
algebraic operation	1.0
kernel embedding framework	1.4999999999999998
song et al	1.3333333333333333
embedding framework	1.2
et al	1.0545454545454545
sample formula	1.1746031746031744
prior distribution formula	1.6666666666666665
prior distribution	1.6944444444444446
probability theory	1.7222222222222223
marginal distribution	1.2857142857142858
kernel embed framework state	1.6666666666666667
practical implementation	2.555555555555556
kernel sum rule	1.3333333333333333
follow formwhere formula	1.3333333333333333
empirical kernel embedding	1.6666666666666665
formula respectively	1.5714285714285714
formwhere formula	1.125
entry formula	1.3333333333333333
joint distribution can	2.0
chain rule	1.0
posterior distribution can	2.0
likelihood function	1.0
kernel bayes rule	1.3333333333333333
posterior distribution	1.1818181818181819
bayes rule	1.0
embedding operator formula	1.3333333333333333
positive definite	2.0
maximum mean discrepancy	1.3333333333333333
widely use	1.0
true value	1.0
rkhs function	1.3333333333333333
two probability distribution	1.3333333333333333
give n	1.75
test statistic	1.0
two probability	1.6666666666666667
sample draw	1.25
underlying distribution formula	1.3333333333333333
underlying distribution	1.3333333333333333
follow optimization problem	1.3333333333333333
optimization problem	1.1929824561403508
follow optimization	2.5
kl divergence	1.5
bregman divergence	1.0
optimization may	3.5
probability mass	1.0
approximate solution	1.0
idea underlying	2.0
gaussian process	1.0
conditional random field	1.5555555555555554
conditional probability distribution	1.7777777777777777
exponential family	1.3333333333333333
random field	1.5714285714285714
conditional probability	2.2462962962962965
field may	3.0
random variable formula	1.3333333333333333
dependence measure	1.0
hsic can	2.0
different type	1.0
data e	1.0
using formula	1.125
value can	2.7333333333333334
desirable property	1.0
machine learn task	2.666666666666667
feature selection	1.8958333333333333
dimensionality reduction	1.4583333333333333
learn task	1.1111111111111112
ha recently	2.0
graphical model	1.1481481481481481
incoming message	1.0
node t	1.0
belief propagation	1.0
node s	6.333333333333333
elementwise vector	1.5
elementwise vector product	1.6666666666666665
linear combination	1.4
feature mapped sample	3.3333333333333335
statistical relationship	1.0
hidden markov model hmm	1.7083333333333335
transition probability	1.0
hidden state formula	1.3333333333333333
probability formula	1.8518518518518516
hidden state	1.1666666666666667
markov model	1.3484848484848484
embedding method	1.0
train sample	1.0
sample contain	1.0
one common	2.0
time step t	1.3333333333333333
previous observation	1.0
time step	1.5208333333333335
step t	1.3333333333333333
observation formula	1.4
belief state	1.0
prediction step	1.0
update formula	3.3333333333333335
conditioning step	1.0
new observation	1.2
time t	1.3333333333333333
step via	3.4166666666666665
training sample formula	1.4999999999999998
recursively use	1.0
weight formula	1.5476190476190477
training sample	2.2933333333333334
support vector machine svm	1.7500000000000002
label formula	1.3076923076923077
support vector machine	1.4942528735632188
support vector	2.005747126436782
close form	1.0
many common	2.0
gaussian distribution	1.3111111111111111
embedding kernel formula	1.6666666666666665
gaussian kernel	1.3333333333333333
training point	1.0
domain adaptation	1.1428571428571428
generalize well	1.0
test data	1.1666666666666667
different distribution	1.0
set formula	1.0952380952380953
three type	1.0
practical approach	1.0
test domain	1.0
test set	1.5866666666666667
shift may	3.5
target shift	1.0
vector formula	1.14
conditional shift	4.333333333333334
new transformed	2.0
training data formula	1.3333333333333333
training data	1.5277777777777777
example use	1.2857142857142858
method may	2.6666666666666665
perform well	1.1428571428571428
well even	3.0
follow empirical	2.5
may perform	1.0
train example	1.2
n set	1.0
domain generalization	1.0
learning algorithm	1.2204301075268815
previously unseen	1.0
functional relationship	1.0
component analysis	1.5454545454545454
transfer across	2.5
principal component analysis	1.9288888888888884
principal component	2.490196078431372
across domain	1.0
probability distribution formula	1.5025641025641023
distributional variance	1.0
lowdimensional subspace	1.5
central subspace	1.5
target value	1.0
distribution regression	1.0
statistical task	1.0
framework include	2.0
analytical solution	1.0
entropy estimation	1.0
successfully apply	1.0
satellite image	1.0
output label	1.25
regression task	1.0
one can consider	1.3333333333333333
regression problem	1.1
formulawhere formula	1.0
can consider	1.0
ridge regression	1.6
linear kernel	1.5
formula take	2.333333333333333
regularity condition	1.0
estimator can	2.0
can achieve	1.0
real number	1.5
formuladimensional vector	1.0
objective function	1.3119999999999998
simple example	1.1666666666666667
kronecker delta	1.5
marginal probability	1.25
formula matrix	1.3333333333333333
joint probability	2.1538461538461537
explicit form	1.0
fix value	1.0
mathematical formalism	1.0
artificial general intelligence	1.6666666666666665
solomonoff induction	1.0
decision theory	1.0
wa first propose	1.3333333333333333
marcus hutter	1.0
universal artificial intelligence	2.0
artificial intelligence	1.627659574468085
wa first	2.0
reinforcement learn	1.876190476190476
expect total reward	1.3333333333333333
computable hypothesis	1.0
every possible	2.0
program longer	3.0
less likely	1.4444444444444446
occam razor	1.3333333333333333
reward formula	1.0
distribute according	2.0
agent try	1.0
future reward	1.5
lifetime m	1.0
u denote	1.0
universal turing machine	1.3333333333333333
turing machine	1.853968253968254
total number	1.0
follow way	1.0
pareto optimal	1.5
also assume	1.0
zero probability	1.0
simple game	2.0
partially observable	1.0
perfect domain theory	1.6666666666666665
domain theory	1.0
important feature	1.0
include many	2.0
irrelevant feature	1.25
can take	1.0
relevant feature	1.0
information need	1.2
ebl system	1.0
system work	1.0
classify future	2.0
future example	1.0
main drawback	1.0
application domain	1.0
natural language process nlp	2.222222222222222
natural language	1.8045977011494252
natural language process	1.3846153846153846
good application	2.0
language usage	1.0
particular language	2.5
first successful	2.0
industrial application	1.0
problem wa	2.4
utility problem	1.0
wa solve	1.0
use either	1.6666666666666667
speech recognition	1.8888888888888888
explanationbased generalization	1.0
search space	1.3333333333333333
algorithm selection	1.2175438596491228
sometimes also call	1.3333333333333333
offline algorithm selection	1.3333333333333333
perinstance algorithm	2.0
offline algorithm	1.6666666666666667
many practical	1.75
practical problem	1.5
performs well	1.6666666666666667
vice versa	3.0
algorithm performs	1.3333333333333333
can identify	1.0
can get	1.0
algorithm formula	1.3740079365079365
instance formula	1.5166666666666668
cost metric	1.0
problem consists	1.0
algorithm selection problem	1.5555555555555554
selection problem	1.2
satisfiability problem	1.0
sat solver	1.3333333333333333
individual instance	1.0
algorithm selection can	2.0
answer set programming	2.0
machine learn algorithm	1.7209302325581395
well known	1.0
machine learn algorithm e	2.1666666666666665
algorithm e	1.5
random forest	2.007017543859649
data set	1.1982758620689655
error rate	1.0
small error	1.0
algorithm will	2.1818181818181817
machine learn technique	1.8666666666666667
numerical feature	1.0
classification problem	1.0476190476190477
multiclass classification	1.4285714285714286
given instance	1.5
instance feature	1.0
numerical representation	1.0
two kind	1.0
performance metric	1.0
feature computation	1.0
run time	1.0
selection system	1.0
feature cost	1.0
variable can	3.5384615384615383
algorithm selection approach	2.666666666666667
running time	1.0
portfolio algorithm	1.0
new instance formula	1.3333333333333333
new instance	1.3333333333333333
unsupervised clustering	2.5
supervise learn	1.1944444444444444
common approach	1.0
pairwise model	4.333333333333333
every pair	1.0
prediction problem	1.0
performance difference	1.0
incorrect prediction	1.0
problem can	2.4375
scheduling problem	1.5
parallel computation	1.5
computer vision	1.5090909090909093
learning framework	1.0
ventral stream	1.0
visual cortex	1.0
originally develop	1.0
visual scene	1.0
image recognition task	1.6666666666666665
algorithm base	2.6
recognition task	1.0
image recognition	1.75
d rotation	1.0
invariant representation	1.0
compressed sensing	1.0
theory proposes	1.0
learning architecture	1.0
different viewpoint	1.0
particular class	1.0
highly complex	2.5
transformation may	2.0
change facial expression	1.3333333333333333
facial expression	1.0
much simple	2.0
sample complexity	1.0
one can see	1.3333333333333333
random guess	1.0
can see	1.0
representation ha	3.3333333333333335
transformation can	3.3333333333333335
also suggest	1.0
human brain	1.5
core idea	1.0
johnsonlindenstrauss lemma	1.2
random projection	1.2666666666666666
lowdimensional feature	1.3333333333333333
result suggest	1.0
dot product	1.0952380952380953
previous section	1.0
learn invariant representation	1.3333333333333333
image formula	1.8333333333333335
template formula	1.25
transformation formula	1.0
every formula	1.7083333333333333
namely formula	1.5
wa apply	1.0
may serve	1.0
representation can	2.6
practical representation	1.0
version can	2.0
visual experience	1.0
many different kind	1.3333333333333333
many different	2.0
different kind	1.0
one need	1.0
computationally efficient	2.0
unique representation	1.3333333333333333
onedimensional probability distribution	2.0
empirical distribution	1.0
unsupervised learn	1.6666666666666667
statistical moment	1.0
orbit formula	1.0
group formula	2.74047619047619
two orbit	1.0
compare two	2.25
one compare	1.0
probability distribution formula induce	1.9166666666666665
formula induce	1.6
uniquely characterize	1.0
randomly chosen	1.0
universal constant	1.0
d probability distribution	1.3333333333333333
probability density function	1.4444444444444444
nonlinear function	1.2
density function	1.0
probability density	1.3809523809523812
image classification	1.0
finite number	1.0833333333333333
locally compact	1.0
zero everywhere	1.5
will also	2.0
small range	1.0
specific kind	1.0
first layer	1.6666666666666667
gabor template	1.0
form group	1.0
two object	1.1666666666666667
object may	4.0
nongroup transformation	1.25
localization condition	1.0
specific case	1.0
localization condition can	3.3333333333333335
condition can	3.3333333333333335
general case	1.0
specific class	1.0
face recognition	1.25
recognition architecture	1.0
hierarchical architecture	1.0
many object	1.0
different object	1.0
different level	1.5
hierarchy can	4.0
different layer	2.0
compositional concept	1.0
problem arises	1.0
target object	1.0
clutter problem	1.5
one layer	1.0
may produce	1.0
can handle	1.0
formula stand	1.5
object recognition	1.4
recognize object	4.166666666666667
vision system	1.0
machine vision	1.5
computer vision ha	2.666666666666667
biologically plausible	1.25
high complexity	1.0
simple cell	2.0
system inspire	2.0
natural image	1.0
novel hypothesis	1.5
label example	1.4545454545454546
just one	2.0
image patch	1.3333333333333335
synaptic weight	1.5
another image	1.5
computational model	1.0
another important	2.0
complex cell	1.5
wa originally propose	1.3333333333333333
wa originally	2.0
closely around	3.0
test time	1.0
train data	1.391304347826087
elastic matching	1.25
wa also	2.0
available data	1.0
also apply	1.0
wa show	1.0
detection system	1.0
face detection	1.0
key element	1.0
new set	1.0
feature detector	1.0
cell along	3.0
training set	1.414035087719298
also show	1.0
feature set	1.6
good performance	1.1111111111111112
unsupervised learning	1.4
speech sound	3.0
wa propose	1.0
classification accuracy	1.0
classification task	1.0
predict future	2.25
statistical model	1.0714285714285714
underlying model	1.5
underfitting occurs	1.0
adequately capture	1.0
underlying structure	1.0
linear model	1.0
model will	2.5454545454545454
predictive performance	1.0
will tend	1.0
can occur	1.0
sometimes call	1.0
criterion use	1.6666666666666667
dependent variable	1.1818181818181819
independent variable	1.1
unseen data	1.0
overfitting occurs	1.0
extreme example	1.0
model can	2.3870967741935485
perfectly predict	1.0
see figure	2.25
will typically fail	1.3333333333333333
make prediction	1.125
typically fail	1.0
expect level	1.0
fitted model	1.0
excessive number	1.0
will appear	1.0
new data	1.5625
original data	1.9583333333333335
several technique	1.0
early stopping	1.3333333333333333
complex model	1.0
model ability	2.0
will encounter	1.0
burnham anderson	1.0
model selection	1.0
large number	1.0
regression analysis	1.0
linear regression	1.4545454545454546
data point	1.2479674796747968
will go	1.0
every point	2.0714285714285716
observation per independent variable	2.083333333333333
logistic regression	1.3125
mean squared error	2.1777777777777776
random regression	1.0
function can	2.3589743589743586
random noise	1.5
regression function	1.611111111111111
biasvariance tradeoff	1.0
often use	1.0
overfit model	1.0
mean squared	2.0833333333333335
squared error	1.5833333333333333
large set	1.3333333333333333
explanatory variable	1.3555555555555554
may thus	2.0
train use	1.0
desired output	1.6
validation data	1.476190476190476
also perform	1.0
occams razor	1.0
adjustable parameter	1.0
ultimately optimal	3.0
linear function	1.1666666666666667
two dependent variable	1.3333333333333333
three parameter	1.0
simple function	2.466666666666667
quadratic function	1.0
complex function	2.666666666666667
complicated function	1.0
large enough	1.6666666666666667
function will	3.0
training dataset	1.6666666666666667
even though	2.0
perhaps even	2.0
data outside	2.5
model complexity	1.0
many parameter	1.5
parameter must	2.5
neural net	1.1666666666666667
target function	1.0833333333333333
example consider	1.0
will fit	1.0
will never	2.0
le accurate	1.0
predict new data	1.6666666666666665
past experience	1.0
two group	1.2
can reduce	1.0
validation dataset	1.486111111111111
function usually	2.6666666666666665
usually need	1.0
correlation coefficient	1.1481481481481481
window width	2.8888888888888893
window width size	2.0
matrix can	3.1666666666666665
correlation matrix	1.0
algorithm doe	2.25
low variance	1.4285714285714286
high bias	1.0
high variance	1.0909090909090908
low bias	1.1428571428571428
simple model	1.0
also occur	1.0
good model	1.2
two mutually	3.0
also include	1.0
variable x	1.5
cognitive robotics	1.7407407407407407
will allow	1.0
cognitive science	1.1666666666666667
symbolic representation	1.0
ha prove	1.0
animal cognition	1.0
starting point	1.0
information process	1.0
cognitive capability	1.0
complex motor	2.0
intelligent agent	1.0
physical world	1.0
real world	1.7142857142857142
robot learn	1.1428571428571428
technique called	1.0
sensory feedback	1.0
motor output	3.0
desire motor result	1.3333333333333333
robot can	2.0
another agent	1.0
learn approach	1.0
knowledge acquisition	1.0
exploration can	2.3333333333333335
sensory input	1.0
prediction system	1.0
artificial neural network	1.43859649122807
neural network	1.4815873015873016
keep track	1.0
prediction error	1.1666666666666667
quantum compute	1.0
string theory	5.5
general process	1.0
icb metric	13.2
decision base	2.5
various aspect	1.0
wa acquire	1.0
process unit	1.2222222222222223
can run	1.0
ce method	1.0
monte carlo	2.25
small probability	1.0
method can	2.0
combinatorial optimization problem	1.3333333333333333
dna sequence	1.0
allocation problem	1.0
global optimization problem	1.3333333333333333
combinatorial optimization	1.25
global optimization	1.5
sequence alignment	1.0
two phase	1.0
general problem	2.0
parametric family	1.3333333333333333
importance sample	1.0
random sample	1.0
optimal pdf	5.666666666666667
step can	2.75
algorithm can	2.4411764705882355
one considers	1.0
give level	1.3333333333333333
variance formula	1.25
stochastic counterpart	1.0
minimization problem	1.0714285714285714
target distribution	1.6666666666666667
sample mean	1.0
elite sample	1.0
function value	1.0
next iteration	1.0
multivariate normal	2.0
statistical analysis	1.0
will generalize	1.0
independent data set	1.5555555555555554
independent data	2.0
mainly use	1.0
one want	1.0
predictive model	1.0714285714285714
usually give	1.0
train dataset	1.25
subset call	2.833333333333333
validation set	1.324561403508772
perform use	1.0
prediction performance	1.0
unknown parameter	1.25
training data set	1.3333333333333333
fitting process	1.0
model parameter	1.0
model fit	1.2
independent sample	1.0
will generally	2.0
response value	1.0
pdimensional vector	2.0
least square	1.4375
x y	1.25
parameter value	1.0
mild assumption	1.0
expected value	3.6666666666666665
expect value	1.0
train set	1.1818181818181819
set x	1.25
crossvalidation estimate	1.0
crossvalidation can	2.25
model ha	2.0
also useful	1.0
cost function	1.0
generally applicable	2.0
two type	1.0
crossvalidation method	2.3333333333333335
possible way	1.0
original sample	1.6
leavepout crossvalidation	1.0
lpo cv	2.5
involves use	1.0
p observation	1.0
lpo crossvalidation	1.5
can become	1.0
particular case	1.0
computation time	1.0
cross validation	1.0
kfold crossvalidation	1.0
k equal	1.5
equal size	1.5
k subsamples	2.0
k result	1.0
repeated random subsampling	1.6666666666666665
fold crossvalidation	1.0
commonly use	1.0476190476190477
two set d	1.6666666666666665
two set	1.0
mean response value	1.3333333333333333
class label	1.2
holdout method	1.0
usually call	1.0
crossvalidation multiple	2.0
also know	1.0
randomly split	1.0
method also	2.25
others may	2.0
may overlap	1.0
will vary	1.0
random split	1.0
approach infinity	1.5
particularly useful	1.0
binary classification problem	1.3333333333333333
binary classification	1.692982456140351
positive predictive value	1.3333333333333333
predictive value	2.9047619047619047
continuously distribute	1.0
use crossvalidation	1.3333333333333333
multiple independent	2.0
statistical property	1.0
slightly bias	1.0
actual data	1.6666666666666667
bias will	2.5
fit will	2.3333333333333335
statistical procedure	1.25
confidence interval around	2.333333333333333
confidence interval	1.0
prediction method	1.0
black box	1.5
certain value	1.0
training procedure	1.0
bias may	3.3333333333333335
closedform expression	1.0
residual error	1.0
human bias	1.0
many application	1.1111111111111112
fiveyear period	3.6666666666666665
another example	1.125
example suppose	1.0
group e	1.5
young people	1.0
external validity	3.6666666666666665
bias can	2.0
validation sample	1.0
one another	1.8333333333333333
poor external	2.0
model building	1.0
vary across	2.0
timeseries model	1.0
may vary	1.0
modeling procedure	1.0
optical character recognition	1.5555555555555554
k near neighbor	1.5555555555555554
near neighbor	1.8333333333333335
character recognition	1.6
k near	2.0
simply compare	1.5
insample error rat	3.0
perform good	1.0
good since	3.0
variable selection	1.2
predict whether	2.0
best performance	1.0
performance will	2.0
best fit	1.0
recent development	1.0
ha also	2.0
feature hash	1.5
also known	1.0
hashing trick	1.0
kernel trick	1.0
hash function	1.4814814814814814
hash value	1.0
index directly	1.5
document classification task	1.3333333333333333
free text	1.5
document classification	2.056122448979592
numerical vector	1.0
dictionary representation	1.0
map word	1.0
hash table	1.0
large amount	1.0
new word	1.0
spam filtering	1.25
text classification	1.1666666666666667
can build	1.0
feature vector	1.398148148148148
let u	1.875
dimension n	1.3333333333333333
vector dimension	1.0
output x	1.5
hash collision	1.0
table represent	1.3333333333333333
coefficient vector	1.0
feature value	1.8333333333333333
contains two	2.5
four possibility	2.333333333333333
equal probability	1.0
sign hash	1.5
sample x	1.0
hashing function	1.0
vector produce	1.0
positive semidefinite	1.2857142857142858
classification performance	1.0
learn problem	1.2061403508771928
input feature	1.0
single parameter vector	1.3333333333333333
spam filter	1.1428571428571428
global filter	1.0
several hundred	1.3333333333333333
single parameter	1.6666666666666667
multitask learn	1.2916666666666667
parameter vector	1.2
bongard problem	1.0
computer scientist	1.3333333333333333
pattern recognition	1.7137681159420288
relatively simple	1.25
common factor	1.0
statistic machine learn	1.6666666666666665
information theory	1.4583333333333335
dimension reduction	1.8571428571428572
feature extraction	1.875
approach try	1.0
original variable	1.3333333333333333
call feature	1.75
strategy e	2.5
information gain	1.6666666666666667
see also	2.25
data analysis	1.0588235294117647
highdimensional space	1.0
principal component analysis pca	1.6944444444444444
many nonlinear	3.0
dimensionality reduction technique	1.3333333333333333
also exist	1.0
nonlinear dimensionality reduction	1.6666666666666665
data tensor	1.7666666666666666
multilinear subspace learn	1.3333333333333333
tensor representation	1.0
multidimensional data	1.75
linear mapping	1.0
lowerdimensional space	1.0
lowdimensional representation	1.0
large eigenvalue	1.0
can now	2.0
large fraction	1.0
can often	2.0
nonnegative matrix	1.5
well know	1.0
multiplicative update	1.5
continuously develop	1.0
missing data	1.25
update rule	1.0
direct imaging	2.3333333333333335
analysis can	2.8333333333333335
resulting technique	1.0
kernel pca	1.0
technique include	1.6666666666666667
learning technique	1.0
linear embedding lle	1.6666666666666665
data representation use	1.6666666666666665
representation use	1.25
semidefinite programming	1.2
prominent example	1.0
pairwise distance	1.0
nearest neighbor	1.4
inner product space	1.4999999999999998
alternative approach	1.0
output space	1.3
multidimensional scaling	1.5
tdistributed stochastic neighbor	2.333333333333333
embedding tsne	1.0
different approach	1.125
special kind	1.0
feedforward neural network	1.3333333333333333
hidden layer	1.4074074074074074
typically perform	1.0
restrict boltzmann machine	1.6190476190476188
boltzmann machine	1.5111111111111113
linear discriminant analysis lda	1.5
fisher linear discriminant	1.6666666666666665
method use	1.0
discriminant analysis	1.4
linear discriminant	1.8939393939393943
linear discriminant analysis	1.75
method provide	1.0
input vectors	1.0
highdimensional feature space	1.3333333333333333
dimensional space	1.0
low dimensional	2.0
canonical correlation analysis cca	1.5
preprocessing step	1.0
canonical correlation analysis	2.0
similarity search	6.833333333333333
video stream	1.0
knn search	1.0
locality sensitive hashing	1.3333333333333333
search technique	1.0
maximally informative	2.166666666666667
much information	1.0
pac learn	1.0909090909090908
important issue	1.3333333333333333
learning process	1.0
algorithm may	2.6
receive data	1.0
example may	3.2
input space	1.05
target function formula	1.3333333333333333
formula define	1.3333333333333333
learning algorithm formula	1.3333333333333333
best function formula	1.3333333333333333
minimize formula	1.0
correct label	1.3333333333333335
efficiently learnable using formula	1.6250000000000002
polynomial formula	1.5
oracle bound	1.0
least formula	1.2
condition formula	1.0
classification noise model	1.3333333333333333
noise rate	1.0
classification noise	1.6666666666666667
noise model	1.0
algorithm formula can	3.111111111111111
oracle formula	1.0
real value	1.0
definitionwe say	1.0
statistical query	1.25
likelihood formula	1.0
correctly label example formula	1.5833333333333335
tolerance formula	1.5
label example formula	1.3333333333333333
active learn	1.7133333333333334
formula call	1.0
algorithm formula call	1.3333333333333333
learn model	1.2
parameter formula	1.7692307692307692
formula doe	2.75
query learn model	1.6666666666666665
main purpose	1.0
pac model	1.0
efficiently sqlearnable	5.333333333333333
pac learnable	1.0
malicious classification model	1.3333333333333333
setting describe	1.0
may occur	1.0
example draw	1.0
nonuniform random attribute	1.6666666666666665
boolean function	1.1333333333333333
nonuniform random attribute noise	1.9166666666666665
follow theorem	1.0
train neural network	1.5555555555555554
hidden neuron	1.0
thus provide	1.0
cc network	1.6666666666666667
short term	1.0
web search	1.4
prediction application	1.0
deep learn	1.4851851851851852
data mine	1.4166666666666667
input node	1.0
output layer	1.5
vector belong	1.0
hopfield network	1.0
structural risk minimization	1.4999999999999998
risk minimization	1.2380952380952384
model become	1.25
srm principle	1.0
vladimir vapnik	1.0
vc dimension	1.0
endtoend reinforcement learn	1.5555555555555554
endtoend process	1.0
entire process	1.0
recurrent neural network	1.4166666666666665
approach ha	2.0
video game	1.0
google deepmind	1.0
supervise learn without	2.0
require sample	1.5
learn without	2.4
without require	1.0
state space	1.611111111111111
action space	3.0
function approximation	1.619047619047619
also employ	1.0
markov decision process	2.0444444444444447
decision process	1.476190476190476
higherlevel function	1.0
input signal	1.0
robot task	1.0
various function	1.6666666666666667
deep convolutional neural network	1.888888888888889
convolutional neural network	1.5
deep convolutional neural	2.1666666666666665
network wa train	1.3333333333333333
train base	2.0
network wa	2.0
wa train	1.0
network architecture	1.0
prior knowledge	1.0
professional human	2.5
sometimes called	1.3333333333333333
deep neural network	1.9666666666666666
monte carlo tree search	1.5833333333333335
tree search	1.0909090909090908
pattern recognition system	1.4999999999999998
many case	1.0
label training data	2.6
supervised learning	2.1666666666666665
labeled data	1.0
previously unknown	1.0
label training	2.8
recognition system	1.0
machine learn data mining	2.0
knowledge discovery	1.1666666666666667
data mining	1.392156862745098
supervise learn method	1.6666666666666665
unsupervised method	1.0
learn method	1.1785714285714286
recognition rate	1.6666666666666667
become increasingly	1.5
give input value	1.3333333333333333
input value	1.0
give input	2.0
wa introduce	1.0
given set	1.0
determine whether	3.6666666666666665
give email	1.0
realvalued output	1.0
input sequence label	1.3333333333333333
example part	1.0
speech tag	1.0
input sentence	1.9583333333333335
parse tree	1.0
input sentence describe	1.3333333333333333
syntactic structure	1.0
input sequence	1.75
sequence label	2.0
algorithms generally	2.0
possible input	1.0
pattern matching	2.0
common example	1.0
patternmatching algorithm	1.0
word processor	1.0
can sometimes	2.0
categorize accord	2.0
output value	1.0666666666666667
correct output	1.1428571428571428
learning procedure	1.0
meet two	2.0
new data instance	1.3333333333333333
semisupervised learning	1.0
unlabeled data	1.4999999999999998
small set	1.0
label data	1.1818181818181819
cluster base	5.166666666666667
input data	1.2031007751937985
inherent similarity	1.5
instance consider	1.0
vector space	1.4666666666666668
input instance	1.0
predefined class	1.0
multidimensional vector	1.5
note also	1.0
community ecology	1.0
multidimensional space	1.0
two vector	1.0
blood type	1.0
b ab	1.0
item e	6.0
large medium	1.0
small integervalued e	1.3333333333333333
particular word	1.0
realvalued e	1.0
blood pressure	1.0
group together	2.0
integervalued data	1.0
algorithm work	2.5
use statistical inference	1.3333333333333333
best label	1.25
use statistical	2.0
statistical inference	1.0
many common pattern	1.6666666666666665
simply output	1.0
probabilistic algorithm	1.0
probabilistic algorithm output	1.3333333333333333
single best	2.0
algorithm output	1.0
possible label	1.0
n may	2.0
many advantage	1.0
algorithm attempt	1.1428571428571428
selection algorithm	1.0
large value	1.0
available feature	1.0
feature vectors	1.0
raw feature	1.5
extraction algorithm	1.0
ha take place	1.3333333333333333
original feature	2.333333333333333
take place	1.0
follows give	1.0
ground truth	1.3333333333333333
map input	1.5
correct map	1.0
loss function	1.3056084656084657
specific value	1.0
incorrect label	1.0
expect loss	1.0
limiting factor	1.0
function depend	2.5
learned function	1.4
probabilistic pattern	1.5
particular input	2.0
possible output	1.5
function f	4.416666666666666
discriminative approach	1.0
generative approach	1.0
prior probability formula	1.3333333333333333
prior probability	1.3333333333333335
use bayes	1.5
maximum likelihood estimation	1.3333333333333333
regularization procedure	1.0
maximum likelihood	1.6
different value	1.0
posterior probability	1.2
bayesian approach	1.0
problem instead	3.0
possible value	1.0
pattern classifier	1.2
parameter vector formula	1.6666666666666665
frequentist approach	1.5
collected data	1.0
covariance matrix	1.1
class formula	1.5555555555555554
bayesian statistic	1.0
knowledge gain	2.3333333333333335
probability formula can	2.0
conjugate prior	2.111111111111111
classifier can	2.6666666666666665
typical application	1.0
pattern recognition technique	1.3333333333333333
email message	1.0
automatic recognition	1.6666666666666667
last two	2.0
digital image	1.0
deep learning	1.0
realworld application	1.0
image process	2.6666666666666665
see e	1.0
process see	1.0
closely related	1.0
input human	1.5
two different	2.1818181818181817
feature detection	1.3333333333333333
long term memory	1.3333333333333333
eager learning	1.0
learning method	1.125
system try	1.0
lazy learn	1.2857142857142858
main advantage gain	1.3333333333333333
