collocation	syntax_distance
therefore also	2.0
formula can	3.0425531914893615
point formula	1.7727272727272727
feature map formula	2.0
similarity measure	1.0
highly nonlinear	1.0
original space	1.0
space depend	3.0
formula also	4.0
formula allow	1.0
density formula	1.25
hilbertschmidt integral	2.0
integral operator	1.0
mean embedding	1.0
embedding formula	1.0
can thus	2.0
uniquely represent	1.0
characteristic kernel	1.0
give formula	1.8571428571428572
formula training	2.25
training example	1.7941176470588236
example formula	1.3478260869565217
formula draw	1.0
draw independently	1.5
identically distribute	1.0
formula training example	2.3333333333333335
training example formula	3.6
formula training example formula	3.0
training example formula draw	3.0
empirically estimate	1.0
denote another	2.0
another random	1.0
simplicity assume	1.0
also formula	1.0
satisfy formula	1.0
joint distribution	1.4444444444444444
tensor product	1.0
product feature	2.0
formula via	1.5
joint distribution formula	3.0
distribution formula can	3.0
feature space formula	2.0
space formula via	3.0
joint distribution formula can	3.0
linear map	1.5
joint embed	1.0
embed may	5.0
crosscovariance operator	1.0
operator formula	1.0
function formula can	4.0
formula pair	1.0
can also	2.0
also empirically	2.0
distribution kernel	1.0
kernel embed	1.25
embed via	1.0
conditional distribution	1.5333333333333334
formula one	2.125
one can	2.0714285714285716
can define	1.0
correspond rkhs	1.0
rkhs embed	1.3333333333333333
conditional distribution formula	2.0
distribution formula one	3.0
one can define	2.0
formula one can	2.4285714285714284
formula thus	1.5
thus define	2.0
rkhs index	1.0
value formula	1.9523809523809523
formula taken	1.0
condition variable	2.0
variable formula	2.074074074074074
fix formula	1.25
particular value	1.0
single element	1.0
formula output	2.5
conditional embedding	1.6666666666666667
formula give	2.0
formula give formula	2.4
always true	1.0
finite domain	1.0
necessarily hold	1.0
continuous domain	1.0
nevertheless even	2.0
assumption fails	1.0
fails formula	1.0
may still	2.0
conditional kernel	3.0
embed formula	1.0
inversion operator	1.0
regularize version	1.0
identity matrix	1.0
give training	2.5
empirical kernel	1.8
kernel conditional	2.3333333333333335
embedding operator	1.2
operator may	2.0
give training example	2.5
kernel conditional embedding	2.0
conditional embedding operator	2.0
give training example formula	3.0
implicitly form	1.0
form feature	3.0
feature matrix	1.0
matrix formula	1.1333333333333333
gram matrix	1.3333333333333333
regularization parameter	1.0
parameter need	1.0
avoid overfitting	1.0
feature matrix formula	3.0
regularization parameter need	2.0
empirical estimate	1.0
weight sum	1.4444444444444444
compact subset	1.0
entire space	1.0
example gaussian	2.0
gaussian rbf	1.0
section illustrate	1.0
basic probabilistic	2.0
probabilistic rule	1.0
rule may	2.0
multilinear algebraic	2.0
algebraic operation	1.0
embedding framework	1.1666666666666667
primarily base	1.0
song et	2.0
et al	1.0545454545454545
song et al	2.0
kernel embedding framework	2.4
follow notation	1.0
data formula	1.0
sample formula	1.0909090909090908
prior distribution	1.0714285714285714
prior distribution formula	2.5
sample formula may	4.0
probability theory	1.1538461538461537
marginal distribution	1.2857142857142858
joint density	1.0
density include	2.0
framework state	1.0
compute via	1.0
practical implementation	1.0
kernel sum	1.3333333333333333
sum rule	1.3333333333333333
rule take	1.0
follow form	1.0
kernel sum rule	2.3333333333333335
sum rule take	2.0
formula formula	1.3846153846153846
entry formula	1.0
formula respectively	1.5714285714285714
distribution formula formula	2.0
empirical kernel embedding	2.0
entry formula respectively	2.0
joint distribution can	3.0
embed framework	2.0
joint embedding	1.0
operator associate	2.0
kernel chain	2.0
chain rule	1.0
kernel chain rule	2.0
chain rule take	2.0
posterior distribution	1.1818181818181819
likelihood function	1.0
posterior distribution can	3.0
framework express	2.0
kernel bayes	1.5
bayes rule	1.0
kernel bayes rule	2.0
bayes rule take	2.0
two regularization	2.0
framework formula	1.0
final conditional	2.0
embedding operator formula	2.0
conditional embedding operator formula	2.0
latter regularization	1.0
positive definite	2.0
maximum mean	2.0
mean discrepancy	1.0
discrepancy mmd	1.0
square distance	1.0
maximum mean discrepancy	2.0
widely use	1.0
use kullbackleibler	2.0
divergence either	4.0
either require	1.0
require density	2.0
estimation either	3.0
easily estimated	1.0
empirical mean	1.0
concentrate around	2.0
true value	1.0
discrepancy refer	2.0
rkhs function	1.3333333333333333
two probability	1.6666666666666667
two probability distribution	2.0
give n	1.75
n training	2.0
m sample	2.0
can formulate	1.0
test statistic	1.0
statistic base	3.0
test statistic base	4.0
sample stem	1.0
broad alternative	2.0
alternative formula	1.0
although learn	1.0
framework circumvent	1.0
intermediate density	2.0
estimation one	2.0
may nonetheless	2.0
nonetheless use	1.0
empirical embedding	1.0
estimation base	3.0
n sample	1.0
sample draw	1.0
underlying distribution	1.3333333333333333
underlying distribution formula	2.0
n sample draw	2.0
follow optimization	2.0
optimization problem	1.2195121951219512
follow optimization problem	2.0
propose density	2.0
quantity e	1.0
entropy kl	3.0
kl divergence	1.5
divergence bregman	2.0
bregman divergence	1.0
optimization may	3.5
sample well	2.0
still allocate	1.0
substantial portion	1.0
probability mass	1.0
probability space	1.0
space much	1.0
empirical kernel mean	2.0
good approximate	2.0
approximate solution	1.0
difficult optimization	1.0
m candidate	1.0
candidate distribution	1.0
regularize mixing	2.0
mixing proportion	1.0
idea underlying	2.0
underlying gaussian	2.0
gaussian process	1.0
conditional random	2.1666666666666665
random field	1.5714285714285714
field may	3.0
conditional probability	2.6666666666666665
one view	1.0
mapping associate	1.0
sufficient statistic	1.0
generalize possibly	3.0
possibly infinitedimensional	1.0
infinitedimensional exponential	2.0
exponential family	1.3333333333333333
conditional probability distribution	2.6666666666666665
conditional random field	2.1666666666666665
statistical dependence	1.0
kernel can	2.0
define can	5.0
formulate base	2.0
hilbertschmidt independence	1.0
independence criterion	1.0
random variable formula	2.4285714285714284
sensible kernel can	3.0
principled replacement	1.0
information pearson	2.0
pearson correlation	1.0
dependence measure	1.0
measure use	1.0
dependence measure use	2.0
notably hsic	1.0
hsic can	2.0
can detect	1.0
detect arbitrary	2.0
arbitrary dependency	1.0
embeddings hsic	1.0
measure dependence	1.0
different type	1.0
data e	1.0
hsic can detect	2.0
unbiased estimator	1.0
exhibit concentration	1.0
value can	2.1666666666666665
formula time	1.0
two datasets	1.0
approximate using	1.0
using formula	1.5555555555555556
true value can	4.0
desirable property	1.0
numerous algorithm	1.0
common machine	1.0
learn task	1.1111111111111112
feature selection	2.235294117647059
dimensionality reduction	1.44
common machine learn	3.5
machine learn task	3.5
common machine learn task	6.0
multiple random	2.0
hsic capture	1.0
capture independence	1.0
case ha	4.0
ha recently	2.0
two variable	1.0
belief propagation	1.0
fundamental algorithm	1.0
graphical model	1.3333333333333333
repeatedly pass	3.0
receive message	2.0
message correspond	1.0
conditional expectation	1.0
message may	2.0
distribution embeddings	1.0
embeddings can	2.0
efficiently compute	1.0
compute message	2.0
message update	1.0
variable represent	1.0
markov random	1.0
incoming message	1.0
node t	1.0
node u	5.0
u can	2.0
give n sample	2.0
kernel belief	4.0
propagation update	1.0
update message	1.0
node s	1.0
elementwise vector	2.5
vector product	1.0
node connect	1.0
t exclude	5.0
exclude node	1.0
s formula	3.0
variable formula respectively	2.0
vector product formula	2.0
elementwise vector product	2.5
linear combination	1.8
feature mapped	6.0
mapped sample	5.0
feature mapped sample	6.0
update therefore	2.0
therefore produce	1.0
efficient belief	3.0
propagation algorithm	1.0
nonparametric function	2.0
function infer	1.0
arbitrary statistical	2.0
statistical relationship	1.0
relationship may	2.0
rkhs function representation	2.0
hidden markov	2.0
markov model	1.6363636363636365
model hmm	1.25
hmm two	3.0
two key	2.0
key quantity	1.0
transition probability	1.0
hidden state	1.1666666666666667
state formula	1.0
emission probability	1.0
probability formula	2.388888888888889
hidden markov model	2.25
markov model hmm	2.25
hidden state formula	2.0
hidden markov model hmm	2.75
distribution embedding	1.0
quantity may	2.0
kernel conditional distribution	3.0
conditional distribution embedding	3.0
serious limitation	1.0
embedding method	1.0
train sample	1.0
sample contain	1.0
contain hidden	2.0
otherwise inference	1.0
train sample contain	2.0
one common	2.0
common use	1.0
estimate posterior	2.0
time step	1.6
step t	1.0
t give	2.0
previous observation	1.0
observation formula	1.4
time step t	2.0
previous observation formula	2.0
one common use	2.0
belief state	1.0
recursively maintain	1.0
maintain via	2.0
prediction step	1.0
update formula	5.0
previous hidden	1.0
state follow	1.0
conditioning step	1.0
apply bayes	1.5
new observation	1.2
apply bayes rule	2.0
belief state formula	2.0
time t	1.3333333333333333
t can	2.0
recursively expressed	1.0
step via	3.5
via kernel	2.0
prediction step via	5.0
conditioning step via	4.0
training sample	3.0
give one	2.5
practice estimate	1.0
estimate formula	1.0
thus implement	1.0
implement recursively	1.0
recursively use	1.5
follow update	1.0
weight formula	1.7777777777777777
give one can	3.0
training sample formula	2.25
respectively formula	1.0
transfer gram	2.0
matrix define	1.0
support measure	1.0
measure machine	2.0
machine smm	1.0
support vector	2.0689655172413794
vector machine	1.0344827586206897
machine svm	1.0
distribution pair	1.0
label formula	1.3076923076923077
support vector machine	2.2413793103448274
support vector machine svm	3.0
standard svm	2.0
svm dual	2.0
dual optimization	2.0
problem use	1.0
following expect	2.0
expect kernel	1.0
optimization problem use	2.0
close form	1.0
many common	2.0
common specific	2.0
specific distribution	1.5
gaussian distribution	1.0
distribution combine	1.0
popular embedding	3.0
embedding kernel	1.0
formula e	1.0
specific distribution formula	2.0
embedding kernel formula	3.0
gaussian kernel	1.3333333333333333
polynomial kernel	2.0
accurately empirically	1.0
sample formula via	2.0
certain choice	1.0
smm applied	1.0
svm train	1.0
smm can	2.0
flexible svm	1.0
different datadependent	2.0
datadependent kernel	1.0
kernel specify	1.0
assumed form	1.0
training point	1.0
distribution formula may	6.0
domain adaptation	1.1428571428571428
generalize well	1.0
test data	1.1666666666666667
different distribution	1.0
test set	1.7333333333333334
set formula	1.2093023255813953
unknown three	2.0
three type	1.0
commonly assume	1.0
test distribution	1.0
test distribution formula	2.0
test set formula	2.0
distribution practical	3.0
practical approach	1.0
test domain	1.3333333333333333
domain can	5.5
test domain can	8.0
shift may	3.5
example via	3.0
via estimate	1.0
ratio formula	1.0
formula obtain	1.3333333333333333
obtain directly	1.0
domain without	8.0
explicit estimation	1.0
target shift	1.0
similarly deal	1.0
weight training	2.0
example use	1.2307692307692308
vector formula	1.16
practice empirical	2.0
empirical approximation	1.0
approximation must	2.0
training example use	2.0
location scale	2.0
scale conditional	2.0
conditional shift	6.5
shift one	3.0
can perform	1.0
ls transformation	1.0
obtain new	2.0
new transformed	2.0
transformed training	2.5
training data	1.7808219178082192
transformed training data	3.0
training data formula	2.0
one can perform	2.0
ensure similar	3.0
similar distribution	1.0
follow empirical	2.5
embed distance	1.0
transformed training sample	2.0
follow empirical kernel	3.0
empirical kernel embed	3.0
test data formula	2.0
ls conditional	2.0
method may	2.6666666666666665
may perform	1.0
perform well	1.1428571428571428
well even	3.0
kernel embedding method	2.0
may perform well	2.0
perform well even	3.0
target shift may	6.0
n set	1.0
train example	1.2
example sample	2.0
train example sample	3.0
give n set	2.0
domain generalization	1.0
formulate learning	2.0
learning algorithm	1.046875
test example	1.0
previously unseen	1.0
unseen domain	2.0
domain formula	1.0
training time	1.0
relatively similar	1.0
similar across	2.0
learner capable	1.0
generalization must	2.0
must estimate	1.0
functional relationship	1.0
distribution domain	1.0
domain invariant	2.0
invariant component	2.0
component analysis	1.8636363636363635
analysis dica	1.0
common conditional	2.0
distribution share	1.0
training domain	1.0
dica thus	2.0
thus extract	1.0
transfer across	2.5
across domain	1.0
kernel principal	2.0
principal component	2.588235294117647
analysis transfer	1.0
transfer component	2.0
covariance operator	3.0
operator inverse	1.0
inverse regression	1.0
principal component analysis	2.8
transfer across domain	2.0
formula dica	1.0
dica measure	2.0
measure dissimilarity	1.0
domain via	2.0
via distributional	2.0
distributional variance	1.0
probability distribution formula	2.3846153846153846
formula gram	2.0
orthogonal transform	1.0
transform onto	2.0
lowdimensional subspace	1.5
subspace b	1.0
variance dica	1.0
dica simultaneously	1.0
simultaneously ensures	1.0
central subspace	1.5
subspace c	1.0
formula become	1.0
become independent	1.0
formula across	1.5
target value	1.0
unsupervised version	1.0
dica may	3.0
minimizes distributional	1.0
simultaneously maximize	1.0
space across	3.0
domain rather	2.0
target value formula	2.0
distribution regression	1.0
many important	2.0
important machine	1.0
statistical task	1.0
task fit	2.0
framework include	2.0
include multiinstance	2.0
multiinstance learning	1.0
point estimation	2.0
estimation problem	1.0
problem without	3.0
without analytical	2.0
analytical solution	1.0
entropy estimation	1.0
sampled distribution	1.0
similarity compute	1.0
regression ha	2.0
successfully apply	1.0
supervise entropy	1.0
entropy learn	1.0
prediction use	1.0
satellite image	1.0
formula bag	1.0
bag contain	1.0
contain sample	1.0
output label	1.25
can tackle	1.0
regression task	1.0
formula training data	2.0
formula output label	2.0
distribution regression task	2.0
word one	2.0
can consider	1.0
follow kernel	2.0
kernel ridge	2.0
ridge regression	2.0
regression problem	1.1
problem formula	1.8333333333333333
one can consider	2.0
ridge regression problem	2.0
regression problem formula	3.0
formula kernel	1.0
formulas formula	2.0
embedded distribution	1.0
rkhs determine	1.0
formula include	2.0
linear kernel	1.5
exponential kernel	1.0
linear kernel formula	2.0
gaussian kernel formula	3.0
new distribution	2.0
formula take	3.5
simple analytical	2.0
analytical form	1.0
distribution formula take	3.0
mild regularity	2.0
regularity condition	1.0
estimator can	2.0
can achieve	1.0
true formulas	2.0
optimal rate	1.0
formula objective	2.0
objective function	1.52
real number	1.875
result can	2.0
formuladimensional vector	1.0
generally element	1.0
separable hilbert	3.0
space using	1.0
objective function formula	2.0
simple example	1.1666666666666667
discrete random	2.0
take value	1.0
kronecker delta	1.5
delta function	1.0
map correspond	1.0
standard basis	3.0
basis vector	1.0
thus vector	1.0
marginal probability	1.25
formula matrix	1.3333333333333333
matrix specify	1.0
specify joint	2.0
joint probability	2.1538461538461537
probability table	1.0
explicit form	1.0
joint probability table	2.0
conditional probability table	2.0
fix value	1.0
delta kernel	2.0
rule becomes	1.0
theoretical mathematical	2.0
mathematical formalism	1.0
artificial general	2.0
general intelligence	1.5
artificial general intelligence	2.0
combine solomonoff	2.0
solomonoff induction	1.0
sequential decision	2.0
decision theory	1.0
aixi wa	2.0
wa first	2.0
first propose	1.0
marcus hutter	1.0
hutters book	1.0
book universal	2.0
universal artificial	2.0
artificial intelligence	1.6808510638297873
universal artificial intelligence	2.5
wa first propose	2.0
reinforcement learn	1.9473684210526316
learn agent	1.0
reinforcement learn agent	2.0
expect total	2.0
total reward	1.0
reward receive	1.0
expect total reward	2.0
simultaneously consider	1.0
consider every	2.0
every computable	2.0
computable hypothesis	1.0
every possible	2.0
possible program	1.0
many reward	1.0
program generates	1.0
generates depend	3.0
next action	1.0
action taken	1.0
promise reward	1.0
subjective belief	1.0
program constitute	1.0
true environment	1.0
program longer	3.0
longer program	1.0
consider less	2.0
less likely	2.0
occam razor	1.3333333333333333
highest expect	1.0
aixi agent	1.0
agent interact	1.0
interact sequentially	2.0
aixi environment	2.0
environment formula	1.0
agent output	1.0
action formula	4.0
environment respond	1.0
reward formula	1.0
formula distribute	1.0
distribute according	2.0
cycle repeat	1.0
agent try	1.0
maximize cumulative	3.0
cumulative future	1.0
future reward	1.5
fix lifetime	2.0
lifetime m	1.0
future reward formula	2.0
current time	2.0
history formula	1.0
action aixi	2.0
aixi output	2.0
u denote	1.0
monotone universal	2.0
universal turing	2.0
turing machine	2.6666666666666665
universal turing machine	2.0
q range	1.0
universal machine	1.0
machine u	1.0
agent lifetime	2.0
latter dependence	1.0
dependence can	2.0
total number	1.0
expect total number	2.0
aixi ha	2.0
follow way	1.0
later shown	1.0
balanced pareto	2.0
pareto optimality	1.0
policy can	2.0
consider pareto	2.0
pareto optimal	1.5
previous optimality	2.0
optimality claim	1.0
however aixi	2.0
maximize reward	1.0
reward base	1.0
external state	1.0
also assume	1.0
environment solely	2.0
percept channel	1.0
channel prevent	4.0
doesnt consider	1.0
since aixi	2.0
incomputable see	1.0
assign zero	1.0
zero probability	1.0
like solomonoff	2.0
induction aixi	2.0
computable approximation	1.0
best time	2.0
space l	1.0
l limited	3.0
limited agent	1.0
another approximation	1.0
restrict environment	2.0
environment class	1.0
success play	1.0
play simple	2.0
simple game	2.0
partially observable	1.0
explanationbased learn	1.0
learn ebl	1.0
even perfect	1.0
perfect domain	2.5
domain theory	1.0
make generalization	2.0
form concept	2.0
perfect domain theory	2.5
ebl use	1.0
play chess	1.0
specific chess	2.0
chess position	1.0
important feature	1.0
two move	1.0
move include	1.0
include many	2.0
many irrelevant	2.0
irrelevant feature	1.25
ebl can	2.0
can take	1.0
single training	2.5
relevant feature	1.0
single training example	2.0
ebl can take	2.0
information need	1.0
best move	1.0
however actually	3.0
actually make	1.0
practice due	3.0
ebl us	1.0
us train	1.0
make search	1.0
deductive consequence	1.0
theory efficient	1.0
ebl system	1.0
system work	1.0
system existing	2.0
existing database	1.0
ebl system work	2.0
short proof	1.0
example extend	3.0
database enable	1.0
classify future	2.0
future example	1.0
classify future example	2.0
main drawback	1.0
learn proof	2.0
ebl software	2.0
software take	1.0
take four	2.0
four input	1.0
especially good	1.0
good application	2.0
application domain	1.0
natural language	2.310344827586207
language process	1.0769230769230769
process nlp	1.6666666666666667
natural language process	2.076923076923077
natural language process nlp	4.0
good application domain	2.0
rich domain	2.0
neither perfect	1.0
particular application	1.0
particular language	2.5
language usage	1.0
usage use	2.0
treebank train	2.0
particular language usage	2.0
first successful	2.0
successful industrial	2.0
industrial application	1.0
relational database	1.0
method ha	2.0
several largescale	4.0
largescale natural	2.0
language parsing	1.0
parsing system	1.0
utility problem	1.0
problem wa	2.4
wa solve	1.0
original grammar	3.0
grammar domain	1.0
using specialized	2.0
technique result	2.0
huge speedup	1.0
utility problem wa	3.0
problem wa solve	2.0
surface generation	1.0
apply ebl	1.0
criterion can	2.0
treebank use	1.0
use either	1.6666666666666667
tradeoff fscore	1.0
language model	1.0
speech recognition	1.8888888888888888
ebl can also	2.0
problem first	1.5
first expose	1.0
minton wa	4.0
article tend	1.0
phrase grammar	1.0
original term	3.0
term explanationbased	1.0
explanationbased generalization	1.0
utility problem first	3.0
best name	1.0
datadriven search	2.0
search space	1.3333333333333333
space reduction	1.0
nlp include	3.0
algorithm selection	1.35
selection sometimes	2.0
sometimes also	2.0
call perinstance	3.0
perinstance algorithm	2.0
offline algorithm	1.6666666666666667
perinstance algorithm selection	2.0
offline algorithm selection	2.0
sometimes also call	2.0
many practical	1.75
practical problem	1.5
problem algorithm	1.0
different performance	1.0
many practical problem	2.0
one algorithm	1.0
algorithm performs	1.3333333333333333
performs well	1.6666666666666667
perform poorly	1.0
vice versa	3.0
another algorithm	1.0
algorithm performs well	2.0
can identify	1.0
can get	1.0
improve overall	2.0
overall performance	1.0
selection aim	1.0
apply algorithm	1.5
selection technique	1.0
complementary algorithm	1.0
apply algorithm selection	2.0
algorithm selection technique	2.0
portfolio formula	1.0
algorithm formula	1.3333333333333333
instance formula	1.75
cost metric	1.0
metric formula	2.0
selection problem	1.2
problem consists	1.0
cost formula	1.0
algorithm selection problem	2.3333333333333335
cost metric formula	3.0
wellknown application	1.0
boolean satisfiability	2.0
satisfiability problem	1.0
complementary sat	2.0
boolean formula	1.0
example average	2.0
average runtime	1.0
unsolved instance	1.0
wellperforming sat	2.0
sat solver	1.3333333333333333
individual instance	1.0
way algorithm	1.0
selection can	2.75
mix integer	2.0
integer programming	2.0
ai plan	1.0
answer set	3.0
set programming	1.0
algorithm selection can	3.0
answer set programming	3.0
well know	1.0
machine learn algorithm	2.590909090909091
algorithm consists	1.0
algorithm e	1.5
machine learn algorithm e	4.0
random forest	1.925
forest svm	1.0
data set	1.3448275862068966
error rate	1.0
algorithm will	2.1818181818181817
small error	1.0
machine learn algorithm will	4.0
learn algorithm will	3.5
mainly solve	1.0
learn technique	1.0
machine learn technique	2.8
problem instance	1.0
numerical feature	1.0
feature formula	5.5
formula algorithm	1.5
multiclass classification	1.4285714285714286
classification problem	1.0454545454545454
given instance	1.5
formula algorithm selection	2.0
multiclass classification problem	2.0
given instance formula	2.0
numerical feature formula	5.0
instance feature	1.0
numerical representation	1.0
can count	1.0
average clause	2.0
clause length	1.0
sample feature	1.0
feature class	1.0
class balance	1.0
two kind	1.0
use performance	3.0
performance metric	1.0
formula feature	1.25
feature computation	1.0
computation can	2.0
performance metric formula	3.0
formula feature computation	2.0
feature computation can	3.0
use run	1.0
run time	1.0
selection system	1.0
algorithm selection system	2.0
sat solving	1.0
concrete example	1.0
feature cost	1.0
neglect since	2.0
since instance	2.0
variable can	3.4615384615384617
constant time	1.0
expensive e	1.0
graph feature	1.0
can cost	1.0
cost ten	1.0
scenario otherwise	1.0
mislead impression	1.0
selection approach	2.3333333333333335
algorithm selection approach	4.0
choose can	3.0
running time	1.0
portfolio algorithm	1.0
portfolio approach	1.0
successful algorithm	1.5
approach predict	1.0
best predict	3.0
predict performance	1.0
performance formula	1.0
new instance	1.3333333333333333
successful algorithm selection	2.0
new instance formula	2.0
common assumption	1.0
give set	1.0
homogeneous subset	1.0
instance formula can	4.0
one wellperforming	1.0
wellperforming algorithm	1.0
training consists	1.0
homogeneous cluster	1.0
cluster via	3.0
unsupervised clustering	2.5
clustering approach	1.0
associated algorithm	1.0
algorithm select	3.0
modern approach	1.0
hierarchical clustering	1.5
clustering using	1.0
using supervise	1.0
supervise learn	1.236842105263158
homogeneous instance	2.0
instance subset	1.0
common approach	1.0
learn pairwise	2.0
pairwise model	1.0
every pair	1.0
wa predict	1.0
can weight	1.0
pairwise prediction	2.0
prediction problem	1.0
performance difference	1.0
two algorithm	1.0
get prediction	1.0
large difference	1.0
difference correct	1.0
incorrect prediction	1.0
classification model	1.3333333333333333
model formula	1.7777777777777777
formula v	2.0
v formula	1.0
problem can	2.4375
effectively apply	1.0
follow assumption	1.0
single domain	1.0
domain include	2.0
application domain include	2.0
extensive list	1.0
literature overview	1.0
online algorithm	2.0
different algorithm	1.0
solving process	1.0
contrast offline	2.0
give instance	1.0
algorithm scheduling	2.0
scheduling problem	1.5
one solver	1.0
time budget	1.0
perinstance base	1.0
approach improve	1.0
wrong selection	1.0
single solver	1.0
increasing importance	1.0
parallel computation	1.3333333333333333
parallel portfolio	1.5
portfolio selection	1.5
simultaneously run	1.0
computer vision	1.565217391304348
vision mtheory	1.0
learning framework	1.0
framework inspire	1.0
feedforward processing	1.0
ventral stream	1.0
visual cortex	1.0
originally develop	1.0
visual scene	1.0
mtheory wa	2.0
wa later	2.0
later apply	1.0
certain image	1.0
image recognition	1.75
recognition task	1.0
task algorithm	1.0
algorithm base	2.5
mtheory hmax	1.0
hmax achieve	1.0
image recognition task	2.5
core principle	1.0
extract representation	2.0
representation invariant	1.0
various transformation	1.0
image translation	1.0
translation scale	1.0
scale d	2.0
d rotation	1.0
approach use	1.3333333333333333
use invariant	2.0
invariant representation	1.0
mtheory also	2.0
also share	1.0
compressed sensing	1.0
theory proposes	1.0
proposes multilayered	1.0
multilayered hierarchical	2.0
hierarchical learning	2.0
learning architecture	1.0
architecture similar	1.0
great challenge	1.0
visual recognition	2.0
object can	2.6666666666666665
different distance	1.0
distance different	3.0
different viewpoint	1.0
different lighting	1.0
lighting partially	3.0
particular class	1.0
class objects	1.0
face highly	1.0
highly complex	2.5
complex specific	2.0
specific transformation	1.0
transformation may	2.0
change facial	2.0
facial expression	1.0
change facial expression	2.0
recognize image	1.0
greatly beneficial	1.0
much simple	2.0
simple classification	2.0
great reduction	1.0
sample complexity	1.0
simple classification problem	2.0
simple computational	2.0
computational experiment	1.0
experiment illustrate	1.0
two instance	1.0
distinguish image	1.0
first instance	2.0
instance image	1.0
arbitrary viewpoint	1.0
another instance	1.0
instance receive	1.0
image see	1.0
particular viewpoint	1.0
can see	1.0
second classifier	1.0
classifier performed	1.0
performed quite	2.0
quite well	1.0
single example	1.0
first classifier	1.0
random guess	1.0
guess even	3.0
see example	1.0
one can see	2.0
representation ha	3.3333333333333335
several learning	2.0
invariant representation ha	3.0
several learning architecture	2.0
architecture however	3.0
however provide	1.0
provide invariance	1.0
mtheory provide	1.0
transformation can	3.3333333333333335
high flexibility	1.0
theory also	2.0
also suggest	1.0
human brain	1.5
brain may	2.0
similar capability	1.0
theory also suggest	2.0
another core	2.0
core idea	1.0
johnsonlindenstrauss lemma	1.2
lemma say	2.0
particular number	1.0
image can	3.0
lowdimensional feature	1.3333333333333333
use random	2.0
random projection	1.2666666666666666
lowdimensional feature space	2.0
result suggest	1.0
dot product	1.2142857142857142
